[2021-08-10 20:59:44,220] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 3951.0 :  
[2021-08-10 20:59:44,220] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4380.0 :  
[2021-08-10 20:59:44,236] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 5390.0 :  
[2021-08-10 20:59:46,826] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 5012.0 :  
[2021-08-10 20:59:46,826] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 2275.0 :  
[2021-08-10 20:59:46,826] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 1656.0 :  
[2021-08-10 20:59:46,826] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 4770.0 :  
[2021-08-10 20:59:46,826] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 1780.0 :  
[2021-08-10 20:59:46,826] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 3665.0 :  
[2021-08-10 20:59:46,842] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 3280.0 :  
[2021-08-10 20:59:46,842] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 4705.0 :  
[2021-08-10 20:59:46,842] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 4415.0 :  
[2021-08-10 20:59:46,842] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 1730.0 :  
[2021-08-10 20:59:46,842] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 5750.0 :  
[2021-08-10 20:59:46,842] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 3950.0 :  
[2021-08-10 20:59:46,842] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 4390.0 :  
[2021-08-10 20:59:46,857] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 1997.0 :  
[2021-08-10 20:59:46,857] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 2001.0 :  
[2021-08-10 20:59:46,857] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 9310.0 :  
